"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Gm6644",10.6273297234942,4.80874395848238,2.94372461439181,1.63355768232277,0.102351759581667,0.232562832772648
"2","Snora31",2.17483739342974,4.50793360410481,3.01584049703251,1.49475199651323,0.134979178587037,0.284964671631734
"3","Zar1",2.1639558218629,4.50563776531163,1.25496098849774,3.59026121656989,0.000330346737434537,0.00254643586424919
"4","Tnfsf11",1.69275406553338,4.14897076660641,1.73004397369797,2.39818804012131,0.0164764045031604,0.0593788216558513
"5","Serpina3h",1.49763629485173,3.9692507477535,1.86937824965864,2.12329995199115,0.0337287247265138,0.102342046206686
"6","Gjb4",2.82253072062236,3.83070338957316,1.24232838439947,3.08348697307185,0.00204590067166977,0.0114230629162871
"7","Gng8",1.27353856768773,3.73427472211092,1.13955117025739,3.27696975754713,0.00104927607519221,0.00656932776133671
"8","4833415N18Rik",3.42877877001969,3.60740970443653,1.09623250618758,3.2907341134977,0.000999263136852448,0.00633701002208228
"9","Chodl",1.7142193234428,3.59942421887994,1.1665692467536,3.08547840507251,0.00203224981087012,0.0113625064477324
"10","Chmp4c",3.33302488453126,3.57651723209646,1.00611063383732,3.55479518038247,0.000378273638390582,0.00284653259357717
"11","Penk",1801.21625989494,3.55820214592405,0.317986577973299,11.1897872187009,4.57530266364346e-29,4.63335181618844e-26
"12","Shisa8",13.2174441755564,3.53899811727202,0.703720685811456,5.02898122596925,4.93092661928316e-07,1.02299364932452e-05
"13","Ly6g6e",9.66996138053937,3.52795032143428,1.01319606662172,3.48200159639136,0.000497680725215817,0.00357760460988105
"14","Gm13749",3.91927278843362,3.39805156498526,1.18323328230498,2.87183568599908,0.0040809509779541,0.0198390785165887
"15","Fgf3",2.10029603880984,3.37436658851466,1.43671232164731,2.34867240829791,0.01884047460837,0.0657489145120437
"16","Ccdc68",3.9331282132446,3.36648660802857,0.856691047994732,3.92963906405763,8.50734645575662e-05,0.000816614541603225
"17","Ifi202b",1.47247341307571,3.36550032111015,1.48755219817436,2.26244183245507,0.0236701188267134,0.078047809391379
"18","Hcar2",1.33528308651601,3.23605241571016,1.3128546380536,2.46489772889695,0.0137052363743883,0.051487807849398
